23,04/08/2022,CHI vs. CHA,CHI,240,117,44,82,53.7,13,24,54.2,16,20,80.0,6,25,31,25,7,1,12,CHA,04/08/2022,133,52,86,60.5,19,40,47.5,10,10,100.0,8,30,38,34,7,4,11,0
24,04/08/2022,BKN vs. CLE,BKN,240,118,43,92,46.7,12,32,37.5,20,21,95.2,13,32,45,30,5,8,11,CLE,04/08/2022,107,40,82,48.8,8,27,29.6,19,24,79.2,10,21,31,19,4,4,9,1
25,04/08/2022,TOR vs. HOU,TOR,240,117,44,96,45.8,7,29,24.1,22,23,95.7,13,28,41,20,13,4,10,HOU,04/08/2022,115,43,81,53.1,10,29,34.5,19,24,79.2,7,34,41,24,6,3,19,1
26,04/08/2022,DET vs. MIL,DET,240,101,35,90,38.9,10,48,20.8,21,23,91.3,9,34,43,27,6,5,14,MIL,04/08/2022,131,50,101,49.5,11,37,29.7,20,23,87.0,10,41,51,29,7,1,8,0
27,04/08/2022,WAS vs. NYK,WAS,240,92,35,69,50.7,9,28,32.1,13,17,76.5,2,35,37,21,5,5,22,NYK,04/08/2022,114,41,88,46.6,16,39,41.0,16,20,80.0,10,32,42,27,13,3,10,0
28,04/07/2022,MIL vs. BOS,MIL,240,127,49,97,50.5,14,38,36.8,15,21,71.4,14,34,48,27,13,5,11,BOS,04/07/2022,121,43,87,49.4,21,50,42.0,14,19,73.7,8,36,44,30,8,4,16,1
29,04/07/2022,GSW vs. LAL,GSW,240,128,51,97,52.6,16,32,50.0,10,10,100.0,9,36,45,39,10,5,15,LAL,04/07/2022,112,37,83,44.6,9,32,28.1,29,38,76.3,8,34,42,14,8,4,19,1
30,04/07/2022,DEN vs. MEM,DEN,240,122,44,80,55.0,12,30,40.0,22,25,88.0,8,35,43,27,7,2,19,MEM,04/07/2022,109,42,89,47.2,11,28,39.3,14,19,73.7,10,24,34,30,8,3,13,1
31,04/07/2022,MIN vs. SAS,MIN,240,127,41,96,42.7,20,53,37.7,25,31,80.6,13,34,47,25,8,2,11,SAS,04/07/2022,121,43,89,48.3,10,28,35.7,25,34,73.5,8,37,45,31,5,5,12,1
32,04/07/2022,NOP vs. POR,NOP,240,127,44,93,47.3,13,37,35.1,26,31,83.9,23,26,49,31,15,1,12,POR,04/07/2022,94,36,69,52.2,11,31,35.5,11,13,84.6,3,24,27,28,10,4,22,1
33,04/07/2022,TOR vs. PHI,TOR,240,119,45,91,49.5,15,33,45.5,14,18,77.8,12,29,41,22,7,4,11,PHI,04/07/2022,114,37,75,49.3,19,36,52.8,21,25,84.0,6,31,37,26,7,3,17,1
34,04/07/2022,CHA vs. ORL,CHA,240,128,48,92,52.2,12,34,35.3,20,27,74.1,10,46,56,29,9,10,12,ORL,04/07/2022,101,38,95,40.0,15,48,31.3,10,13,76.9,8,35,43,27,6,4,16,1
35,04/06/2022,LAC vs. PHX,LAC,240,113,33,75,44.0,12,34,35.3,35,44,79.5,9,46,55,20,7,9,17,PHX,04/06/2022,109,42,108,38.9,17,48,35.4,8,12,66.7,18,36,54,29,11,2,12,1
36,04/06/2022,UTA vs. OKC,UTA,240,137,49,84,58.3,15,36,41.7,24,32,75.0,16,39,55,29,7,10,13,OKC,04/06/2022,101,37,90,41.1,16,37,43.2,11,17,64.7,11,21,32,27,9,1,10,1
37,04/06/2022,CHI vs. BOS,CHI,240,94,35,80,43.8,7,23,30.4,17,23,73.9,7,33,40,19,7,4,17,BOS,04/06/2022,117,43,88,48.9,17,37,45.9,14,22,63.6,8,34,42,29,11,6,13,0
38,04/06/2022,ATL vs. WAS,ATL,240,118,43,92,46.7,16,39,41.0,16,19,84.2,7,32,39,26,11,1,6,WAS,04/06/2022,103,42,86,48.8,10,35,28.6,9,11,81.8,6,38,44,26,4,4,14,1
39,04/06/2022,NYK vs. BKN,NYK,240,98,32,83,38.6,13,38,34.2,21,36,58.3,10,32,42,22,4,7,11,BKN,04/06/2022,110,41,93,44.1,14,41,34.1,14,18,77.8,13,36,49,28,7,6,14,0
40,04/06/2022,DET vs. DAL,DET,240,113,35,82,42.7,11,30,36.7,32,35,91.4,11,31,42,26,7,5,11,DAL,04/06/2022,131,45,80,56.3,15,33,45.5,26,34,76.5,8,33,41,28,8,1,10,0
41,04/05/2022,IND vs. PHI,IND,240,122,45,95,47.4,12,40,30.0,20,21,95.2,16,32,48,29,8,10,16,PHI,04/05/2022,131,47,87,54.0,23,40,57.5,14,18,77.8,5,31,36,34,8,3,16,0
42,04/05/2022,CHI vs. MIL,CHI,240,106,42,98,42.9,9,33,27.3,13,13,100.0,13,29,42,22,8,2,15,MIL,04/05/2022,127,46,87,52.9,12,35,34.3,23,25,92.0,8,39,47,32,8,8,14,0
43,04/05/2022,OKC vs. POR,OKC,240,98,39,81,48.1,9,29,31.0,11,22,50.0,13,34,47,15,12,12,17,POR,04/05/2022,94,35,83,42.2,11,32,34.4,13,16,81.3,10,30,40,24,10,6,17,1
44,04/05/2022,MIN vs. WAS,MIN,240,114,41,91,45.1,14,41,34.1,18,25,72.0,6,32,38,27,6,3,10,WAS,04/05/2022,132,56,101,55.4,13,30,43.3,7,14,50.0,9,43,52,38,4,4,10,0
45,04/05/2022,MIA vs. CHA,MIA,240,144,48,84,57.1,23,42,54.8,25,29,86.2,8,33,41,29,10,1,15,CHA,04/05/2022,115,45,85,52.9,12,38,31.6,13,18,72.2,7,24,31,34,8,3,15,1
46,04/05/2022,BKN vs. HOU,BKN,240,118,39,86,45.3,15,37,40.5,25,27,92.6,12,40,52,22,6,9,17,HOU,04/05/2022,105,40,99,40.4,11,43,25.6,14,25,56.0,18,30,48,18,8,6,11,1
47,04/05/2022,TOR vs. ATL,TOR,240,118,44,101,43.6,9,35,25.7,21,31,67.7,20,40,60,20,6,5,8,ATL,04/05/2022,108,43,94,45.7,14,37,37.8,8,12,66.7,10,33,43,31,5,4,7,1
48,04/05/2022,PHX vs. LAL,PHX,240,121,50,102,49.0,14,39,35.9,7,9,77.8,11,42,53,38,10,4,14,LAL,04/05/2022,110,39,86,45.3,9,29,31.0,23,30,76.7,7,39,46,22,7,3,16,1
49,04/05/2022,ORL vs. CLE,ORL,240,120,47,93,50.5,16,35,45.7,10,15,66.7,8,35,43,31,9,8,7,CLE,04/05/2022,115,42,86,48.8,16,36,44.4,15,22,68.2,9,38,47,25,6,4,12,1
50,04/05/2022,SAC vs. NOP,SAC,240,109,39,76,51.3,11,30,36.7,20,22,90.9,3,31,34,28,4,3,15,NOP,04/05/2022,123,45,88,51.1,12,25,48.0,21,26,80.8,14,30,44,26,13,2,13,0
51,04/05/2022,UTA vs. MEM,UTA,265,121,40,96,41.7,12,38,31.6,29,43,67.4,13,48,61,23,8,8,17,MEM,04/05/2022,115,39,101,38.6,13,31,41.9,24,29,82.8,10,41,51,26,13,7,13,1
52,04/05/2022,DEN vs. SAS,DEN,240,97,41,98,41.8,7,33,21.2,8,12,66.7,10,41,51,22,4,2,11,SAS,04/05/2022,116,44,89,49.4,12,26,46.2,16,24,66.7,5,43,48,31,6,3,11,0
53,04/03/2022,ORL vs. NYK,ORL,240,88,30,85,35.3,12,44,27.3,16,27,59.3,8,32,40,18,5,2,11,NYK,04/03/2022,118,45,93,48.4,15,44,34.1,13,16,81.3,13,43,56,29,9,7,10,0
54,04/03/2022,LAC vs. NOP,LAC,240,119,45,95,47.4,21,44,47.7,8,10,80.0,12,29,41,33,10,5,10,NOP,04/03/2022,100,35,87,40.2,9,24,37.5,21,27,77.8,19,35,54,22,4,5,16,1
55,04/03/2022,SAC vs. GSW,SAC,240,90,31,81,38.3,7,33,21.2,21,24,87.5,6,29,35,19,5,1,13,GSW,04/03/2022,109,41,79,51.9,16,34,47.1,11,15,73.3,7,40,47,29,8,8,17,0
56,04/03/2022,IND vs. DET,IND,240,117,45,94,47.9,12,38,31.6,15,19,78.9,17,41,58,33,6,11,19,DET,04/03/2022,121,43,99,43.4,21,41,51.2,14,18,77.8,10,28,38,31,11,4,12,0
57,04/03/2022,TOR vs. MIA,TOR,240,109,35,83,42.2,12,39,30.8,27,34,79.4,10,28,38,19,12,1,17,MIA,04/03/2022,114,41,79,51.9,18,38,47.4,14,22,63.6,8,30,38,30,9,4,17,0
58,04/03/2022,HOU vs. MIN,HOU,240,132,48,85,56.5,16,40,40.0,20,29,69.0,11,25,36,28,8,4,24,MIN,04/03/2022,139,51,86,59.3,17,41,41.5,20,25,80.0,7,25,32,32,13,6,19,0
59,04/03/2022,LAL vs. DEN,LAL,240,118,49,92,53.3,6,20,30.0,14,21,66.7,6,34,40,31,4,5,13,DEN,04/03/2022,129,47,82,57.3,12,31,38.7,23,29,79.3,6,32,38,33,10,5,12,0
60,04/03/2022,MIL vs. DAL,MIL,240,112,42,95,44.2,15,40,37.5,13,18,72.2,10,26,36,25,9,1,9,DAL,04/03/2022,118,39,76,51.3,16,38,42.1,24,27,88.9,2,36,38,28,7,3,14,0
61,04/03/2022,BOS vs. WAS,BOS,240,144,56,91,61.5,23,44,52.3,9,13,69.2,7,32,39,39,6,5,8,WAS,04/03/2022,102,38,82,46.3,8,21,38.1,18,20,90.0,7,25,32,21,4,2,12,1
62,04/03/2022,SAS vs. POR,SAS,240,113,38,84,45.2,14,42,33.3,23,30,76.7,10,41,51,25,9,1,13,POR,04/03/2022,92,33,84,39.3,16,45,35.6,10,15,66.7,7,32,39,22,7,4,14,1
63,04/03/2022,OKC vs. PHX,OKC,240,117,43,87,49.4,17,41,41.5,14,18,77.8,12,42,54,33,7,4,18,PHX,04/03/2022,96,37,89,41.6,7,38,18.4,15,17,88.2,6,27,33,22,14,4,11,1
64,04/03/2022,CLE vs. PHI,CLE,240,108,35,78,44.9,15,33,45.5,23,31,74.2,7,34,41,24,10,3,12,PHI,04/03/2022,112,33,80,41.3,11,31,35.5,35,42,83.3,12,38,50,23,7,8,14,0
65,04/02/2022,GSW vs. UTA,GSW,240,111,40,84,47.6,20,48,41.7,11,12,91.7,6,35,41,30,5,6,11,UTA,04/02/2022,107,38,89,42.7,15,46,32.6,16,22,72.7,12,35,47,19,8,2,13,1
66,04/02/2022,CHI vs. MIA,CHI,240,109,37,86,43.0,9,34,26.5,26,29,89.7,11,28,39,21,5,4,6,MIA,04/02/2022,127,44,82,53.7,17,34,50.0,22,27,81.5,5,36,41,28,4,1,9,0
67,04/02/2022,ATL vs. BKN,ATL,240,122,36,86,41.9,13,41,31.7,37,49,75.5,10,44,54,18,10,4,7,BKN,04/02/2022,115,42,99,42.4,17,37,45.9,14,19,73.7,10,42,52,17,5,3,13,1
68,04/02/2022,NYK vs. CLE,NYK,240,101,31,77,40.3,13,30,43.3,26,34,76.5,6,29,35,19,6,4,11,CLE,04/02/2022,119,44,81,54.3,15,34,44.1,16,21,76.2,7,36,43,26,6,3,12,0
69,04/02/2022,PHI vs. CHA,PHI,240,144,53,87,60.9,21,43,48.8,17,21,81.0,10,37,47,38,10,5,19,CHA,04/02/2022,114,42,87,48.3,11,30,36.7,19,24,79.2,7,25,32,34,14,1,17,1
70,04/01/2022,LAL vs. NOP,LAL,240,111,39,82,47.6,11,27,40.7,22,31,71.0,7,33,40,24,10,1,17,NOP,04/01/2022,114,41,79,51.9,7,26,26.9,25,29,86.2,4,33,37,23,8,4,15,0
71,04/01/2022,DEN vs. MIN,DEN,240,130,46,86,53.5,12,35,34.3,26,29,89.7,10,34,44,36,7,2,18,MIN,04/01/2022,136,43,86,50.0,19,40,47.5,31,36,86.1,10,28,38,26,14,4,12,0
72,04/01/2022,SAS vs. POR,SAS,240,130,46,81,56.8,16,37,43.2,22,28,78.6,8,36,44,34,9,6,15,POR,04/01/2022,111,41,92,44.6,15,35,42.9,14,20,70.0,12,30,42,27,12,2,12,1
73,04/01/2022,MEM vs. PHX,MEM,240,122,46,102,45.1,7,24,29.2,23,28,82.1,16,32,48,30,7,2,11,PHX,04/01/2022,114,47,86,54.7,10,27,37.0,10,17,58.8,2,37,39,27,8,4,20,1
74,04/01/2022,HOU vs. SAC,HOU,240,117,41,97,42.3,17,45,37.8,18,26,69.2,15,30,45,26,9,7,11,SAC,04/01/2022,122,42,81,51.9,12,28,42.9,26,34,76.5,8,39,47,29,6,11,13,0
75,04/01/2022,MIL vs. LAC,MIL,240,119,50,94,53.2,8,25,32.0,11,18,61.1,13,25,38,30,6,5,15,LAC,04/01/2022,153,56,92,60.9,23,43,53.5,18,24,75.0,8,28,36,34,9,7,10,0
76,04/01/2022,ORL vs. TOR,ORL,240,89,34,79,43.0,11,35,31.4,10,11,90.9,9,36,45,24,6,4,22,TOR,04/01/2022,102,36,86,41.9,13,42,31.0,17,20,85.0,10,31,41,21,13,3,10,0
77,04/01/2022,OKC vs. DET,OKC,240,101,36,84,42.9,11,34,32.4,18,29,62.1,12,42,54,24,1,8,17,DET,04/01/2022,110,40,94,42.6,15,48,31.3,15,18,83.3,8,36,44,29,9,8,8,0
78,04/01/2022,BOS vs. IND,BOS,240,128,45,83,54.2,12,33,36.4,26,28,92.9,11,29,40,29,7,4,16,IND,04/01/2022,123,42,81,51.9,17,36,47.2,22,23,95.7,8,22,30,25,9,3,16,1
79,04/01/2022,WAS vs. DAL,WAS,240,135,49,90,54.4,17,33,51.5,20,22,90.9,8,37,45,33,7,4,9,DAL,04/01/2022,103,34,78,43.6,11,38,28.9,24,26,92.3,5,31,36,14,3,3,13,1
80,03/31/2022,CHI vs. LAC,CHI,265,135,50,102,49.0,10,29,34.5,25,32,78.1,13,37,50,24,6,3,8,LAC,03/31/2022,130,45,90,50.0,16,36,44.4,24,26,92.3,4,36,40,26,7,5,12,1
81,03/31/2022,BKN vs. MIL,BKN,265,119,45,97,46.4,18,37,48.6,11,16,68.8,5,36,41,31,12,7,16,MIL,03/31/2022,120,40,89,44.9,12,41,29.3,28,34,82.4,11,46,57,17,12,3,23,0
82,03/31/2022,ATL vs. CLE,ATL,240,131,45,91,49.5,17,39,43.6,24,28,85.7,12,36,48,27,7,4,9,CLE,03/31/2022,107,39,90,43.3,7,30,23.3,22,28,78.6,15,32,47,19,6,5,14,1
83,03/31/2022,DET vs. PHI,DET,240,102,41,82,50.0,10,35,28.6,10,15,66.7,5,33,38,26,11,4,10,PHI,03/31/2022,94,31,69,44.9,7,26,26.9,25,28,89.3,4,35,39,22,8,9,15,1
84,03/31/2022,UTA vs. LAL,UTA,240,122,46,90,51.1,15,44,34.1,15,24,62.5,9,32,41,25,7,2,8,LAL,03/31/2022,109,41,83,49.4,7,25,28.0,20,28,71.4,9,31,40,18,5,3,11,1
85,03/30/2022,GSW vs. PHX,GSW,240,103,35,83,42.2,13,38,34.2,20,25,80.0,10,38,48,26,7,4,21,PHX,03/30/2022,107,38,92,41.3,7,28,25.0,24,30,80.0,12,34,46,20,9,1,14,0
86,03/30/2022,POR vs. NOP,POR,240,107,39,85,45.9,14,42,33.3,15,18,83.3,13,28,41,30,7,4,22,NOP,03/30/2022,117,40,78,51.3,6,24,25.0,31,39,79.5,12,28,40,26,16,6,14,0
87,03/30/2022,SAS vs. MEM,SAS,240,111,42,83,50.6,14,35,40.0,13,16,81.3,7,30,37,26,8,1,15,MEM,03/30/2022,112,44,91,48.4,16,39,41.0,8,11,72.7,12,28,40,26,8,5,14,0
88,03/30/2022,HOU vs. SAC,HOU,240,118,43,94,45.7,13,42,31.0,19,25,76.0,12,39,51,23,7,4,18,SAC,03/30/2022,121,44,95,46.3,7,26,26.9,26,36,72.2,13,31,44,21,7,10,9,0
89,03/30/2022,BOS vs. MIA,BOS,240,98,35,85,41.2,11,37,29.7,17,23,73.9,8,36,44,27,9,1,18,MIA,03/30/2022,106,38,79,48.1,13,34,38.2,17,25,68.0,4,38,42,27,9,6,18,0
90,03/30/2022,OKC vs. ATL,OKC,240,118,41,87,47.1,17,41,41.5,19,27,70.4,10,32,42,31,5,2,18,ATL,03/30/2022,136,49,91,53.8,18,39,46.2,20,22,90.9,6,37,43,28,10,4,13,0
91,03/30/2022,NYK vs. CHA,NYK,240,114,40,85,47.1,16,44,36.4,18,26,69.2,11,32,43,23,5,5,14,CHA,03/30/2022,125,49,90,54.4,12,35,34.3,15,17,88.2,8,32,40,39,7,3,12,0
92,03/30/2022,IND vs. DEN,IND,240,118,44,97,45.4,12,40,30.0,18,23,78.3,18,19,37,29,11,4,8,DEN,03/30/2022,125,50,80,62.5,12,28,42.9,13,14,92.9,8,35,43,33,6,4,20,0
93,03/30/2022,WAS vs. ORL,WAS,240,127,47,92,51.1,13,36,36.1,20,26,76.9,12,39,51,35,5,8,12,ORL,03/30/2022,110,40,96,41.7,11,34,32.4,19,22,86.4,11,31,42,21,8,5,12,1
94,03/30/2022,TOR vs. MIN,TOR,240,125,48,96,50.0,18,36,50.0,11,15,73.3,11,36,47,32,9,4,19,MIN,03/30/2022,102,37,92,40.2,11,37,29.7,17,23,73.9,17,31,48,26,11,9,22,1
95,03/30/2022,CLE vs. DAL,CLE,240,112,42,83,50.6,11,25,44.0,17,22,77.3,9,30,39,24,7,3,15,DAL,03/30/2022,120,46,88,52.3,16,42,38.1,12,15,80.0,9,29,38,28,6,6,12,0
96,03/29/2022,LAC vs. UTA,LAC,240,121,41,83,49.4,15,36,41.7,24,28,85.7,10,23,33,21,8,4,11,UTA,03/29/2022,115,43,78,55.1,12,31,38.7,17,29,58.6,10,28,38,23,5,5,15,1
97,03/29/2022,BKN vs. DET,BKN,240,130,42,76,55.3,15,28,53.6,31,34,91.2,8,33,41,24,9,6,19,DET,03/29/2022,123,48,99,48.5,16,38,42.1,11,13,84.6,16,23,39,28,11,4,14,1
98,03/29/2022,DAL vs. LAL,DAL,240,128,45,87,51.7,20,46,43.5,18,23,78.3,11,35,46,27,5,1,8,LAL,03/29/2022,110,40,89,44.9,12,44,27.3,18,22,81.8,14,34,48,20,7,2,9,1
99,03/29/2022,PHI vs. MIL,PHI,240,116,43,89,48.3,16,41,39.0,14,18,77.8,5,35,40,28,7,3,9,MIL,03/29/2022,118,44,88,50.0,14,38,36.8,16,23,69.6,9,39,48,26,5,4,11,0
100,03/29/2022,WAS vs. CHI,WAS,240,94,38,79,48.1,6,26,23.1,12,17,70.6,7,30,37,25,6,7,14,CHI,03/29/2022,107,43,85,50.6,6,18,33.3,15,18,83.3,6,30,36,26,9,1,9,0
101,03/28/2022,POR vs. OKC,POR,265,131,51,112,45.5,20,50,40.0,9,13,69.2,19,28,47,28,17,5,11,OKC,03/28/2022,134,48,90,53.3,20,45,44.4,18,25,72.0,11,38,49,32,7,3,21,0
102,03/28/2022,MEM vs. GSW,MEM,240,123,43,92,46.7,12,30,40.0,25,35,71.4,13,39,52,26,11,3,14,GSW,03/28/2022,95,33,81,40.7,9,29,31.0,20,26,76.9,7,33,40,18,6,7,17,1
103,03/28/2022,HOU vs. SAS,HOU,240,120,38,92,41.3,20,49,40.8,24,28,85.7,10,34,44,26,5,9,12,SAS,03/28/2022,123,47,100,47.0,7,29,24.1,22,28,78.6,17,39,56,28,11,5,13,0
104,03/28/2022,NYK vs. CHI,NYK,240,109,38,89,42.7,12,35,34.3,21,35,60.0,13,33,46,19,4,4,6,CHI,03/28/2022,104,34,79,43.0,6,23,26.1,30,33,90.9,6,41,47,16,6,3,14,1
105,03/28/2022,MIA vs. SAC,MIA,240,123,49,90,54.4,19,40,47.5,6,6,100.0,10,38,48,30,7,1,16,SAC,03/28/2022,100,37,81,45.7,12,35,34.3,14,18,77.8,5,27,32,21,6,2,14,1
106,03/28/2022,CHA vs. DEN,CHA,240,109,44,93,47.3,13,42,31.0,8,12,66.7,8,32,40,33,11,3,15,DEN,03/28/2022,113,40,86,46.5,12,33,36.4,21,28,75.0,17,34,51,29,7,3,16,0
107,03/28/2022,IND vs. ATL,IND,240,123,45,87,51.7,17,36,47.2,16,18,88.9,8,20,28,32,7,6,14,ATL,03/28/2022,132,47,86,54.7,17,35,48.6,21,26,80.8,13,27,40,32,11,4,15,0
108,03/28/2022,CLE vs. ORL,CLE,240,107,37,83,44.6,13,41,31.7,20,23,87.0,6,35,41,26,11,4,15,ORL,03/28/2022,101,42,87,48.3,10,37,27.0,7,13,53.8,8,37,45,31,6,1,17,1
109,03/28/2022,TOR vs. BOS,TOR,265,115,46,106,43.4,10,39,25.6,13,18,72.2,16,36,52,16,10,11,10,BOS,03/28/2022,112,39,95,41.1,12,40,30.0,22,28,78.6,16,41,57,23,5,7,17,1
110,03/27/2022,BKN vs. CHA,BKN,240,110,43,97,44.3,7,34,20.6,17,26,65.4,14,36,50,30,9,11,11,CHA,03/27/2022,119,42,98,42.9,17,32,53.1,18,23,78.3,17,36,53,26,6,2,12,0
111,03/27/2022,DAL vs. UTA,DAL,240,114,40,77,51.9,17,34,50.0,17,24,70.8,10,35,45,21,3,2,10,UTA,03/27/2022,100,41,89,46.1,12,34,35.3,6,10,60.0,7,29,36,23,5,1,6,1
112,03/27/2022,NOP vs. LAL,NOP,240,116,44,91,48.4,9,27,33.3,19,24,79.2,12,29,41,25,10,1,7,LAL,03/27/2022,108,42,80,52.5,14,35,40.0,10,16,62.5,7,32,39,26,5,2,15,1
113,03/27/2022,PHX vs. PHI,PHX,240,114,45,87,51.7,13,27,48.1,11,17,64.7,5,35,40,24,5,5,13,PHI,03/27/2022,104,37,89,41.6,10,36,27.8,20,26,76.9,12,33,45,22,6,4,12,1
114,03/27/2022,BOS vs. MIN,BOS,240,134,49,87,56.3,17,39,43.6,19,21,90.5,10,35,45,27,7,5,13,MIN,03/27/2022,112,45,84,53.6,14,32,43.8,8,12,66.7,4,26,30,26,7,3,14,1
115,03/27/2022,DET vs. NYK,DET,240,102,39,85,45.9,8,29,27.6,16,18,88.9,9,28,37,23,8,5,10,NYK,03/27/2022,104,34,85,40.0,13,41,31.7,23,29,79.3,13,38,51,19,8,8,14,0
116,03/27/2022,WAS vs. GSW,WAS,240,123,44,84,52.4,16,28,57.1,19,22,86.4,5,37,42,33,5,8,12,GSW,03/27/2022,115,38,89,42.7,8,33,24.2,31,39,79.5,13,33,46,20,8,2,10,1
117,03/26/2022,POR vs. HOU,POR,240,98,37,93,39.8,12,40,30.0,12,17,70.6,21,30,51,21,14,4,23,HOU,03/26/2022,115,44,84,52.4,15,35,42.9,12,18,66.7,8,30,38,34,12,8,21,0
118,03/26/2022,CLE vs. CHI,CLE,240,94,34,82,41.5,7,31,22.6,19,27,70.4,15,31,46,17,7,3,13,CHI,03/26/2022,98,36,75,48.0,5,21,23.8,21,25,84.0,6,31,37,23,6,1,15,0
