,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
426,HOU,HOU @ NOP,03/13/2022,,L,240,105,39,77,50.6,12,31,38.7,15,25,60.0,9,30,39,24,3,4,25,26,-25
427,NOP,NOP vs. HOU,03/13/2022,,W,240,130,48,93,51.6,10,32,31.3,24,34,70.6,14,31,45,30,17,3,11,20,25
428,ORL,ORL vs. PHI,03/13/2022,,L,265,114,41,91,45.1,18,43,41.9,14,20,70.0,8,42,50,28,7,7,12,27,-2
429,PHI,PHI @ ORL,03/13/2022,,W,265,116,35,92,38.0,14,37,37.8,32,37,86.5,10,35,45,21,7,3,8,17,2
430,BOS,BOS vs. DAL,03/13/2022,,L,240,92,33,88,37.5,9,37,24.3,17,19,89.5,11,34,45,16,8,3,11,12,-3
431,DAL,DAL @ BOS,03/13/2022,,W,240,95,33,74,44.6,15,37,40.5,14,19,73.7,4,38,42,20,7,5,18,16,3
432,LAL,LAL @ PHX,03/13/2022,,L,240,111,36,81,44.4,16,40,40.0,23,31,74.2,7,30,37,24,4,2,19,14,-29
433,PHX,PHX vs. LAL,03/13/2022,,W,240,140,58,102,56.9,12,33,36.4,12,14,85.7,14,37,51,36,12,5,11,24,29
434,MEM,MEM @ OKC,03/13/2022,,W,240,125,48,102,47.1,11,29,37.9,18,20,90.0,20,37,57,30,8,5,13,20,7
435,OKC,OKC vs. MEM,03/13/2022,,L,240,118,41,97,42.3,13,41,31.7,23,28,82.1,14,30,44,25,7,8,11,21,-7
436,DET,DET vs. LAC,03/13/2022,,L,240,102,36,80,45.0,12,29,41.4,18,20,90.0,8,36,44,23,3,4,10,18,-4
437,LAC,LAC @ DET,03/13/2022,,W,240,106,40,89,44.9,10,30,33.3,16,20,80.0,11,35,46,25,5,3,6,15,4
