,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
561,HOU,HOU @ DEN,03/04/2022,,L,240,101,38,83,45.8,10,36,27.8,15,22,68.2,9,35,44,25,4,3,15,21,-15
562,NOP,NOP vs. UTA,03/04/2022,,W,240,124,50,97,51.5,11,36,30.6,13,17,76.5,15,37,52,29,11,5,11,23,34
563,UTA,UTA @ NOP,03/04/2022,,L,240,90,31,89,34.8,11,41,26.8,17,26,65.4,22,30,52,15,7,2,21,14,-34
564,CHI,CHI vs. MIL,03/04/2022,,L,240,112,47,94,50.0,10,26,38.5,8,11,72.7,5,35,40,25,5,2,12,23,-6
565,MIL,MIL @ CHI,03/04/2022,,W,240,118,43,88,48.9,10,31,32.3,22,33,66.7,12,38,50,20,5,5,14,18,6
566,TOR,TOR vs. ORL,03/04/2022,,L,240,97,37,93,39.8,12,37,32.4,11,17,64.7,12,42,54,22,2,8,12,18,-6
567,ORL,ORL @ TOR,03/04/2022,,W,240,103,36,95,37.9,11,37,29.7,20,21,95.2,12,43,55,24,5,4,11,18,6
568,WAS,WAS vs. ATL,03/04/2022,,L,240,114,46,85,54.1,14,29,48.3,8,9,88.9,7,34,41,37,2,7,14,29,-3
569,ATL,ATL @ WAS,03/04/2022,,W,240,117,38,91,41.8,13,36,36.1,28,34,82.4,13,26,39,18,6,5,4,16,3
570,IND,IND @ DET,03/04/2022,,L,240,106,39,100,39.0,10,40,25.0,18,28,64.3,21,34,55,24,4,9,14,16,-5
571,DET,DET vs. IND,03/04/2022,,W,240,111,42,94,44.7,15,30,50.0,12,18,66.7,19,33,52,28,5,9,13,22,5
572,CLE,CLE @ PHI,03/04/2022,,L,240,119,44,82,53.7,10,28,35.7,21,24,87.5,10,31,41,30,5,4,12,22,-6
573,PHI,PHI vs. CLE,03/04/2022,,W,240,125,41,75,54.7,14,33,42.4,29,32,90.6,3,27,30,23,8,3,12,24,6
574,OKC,OKC vs. MIN,03/04/2022,,L,240,101,37,86,43.0,9,35,25.7,18,21,85.7,8,31,39,19,12,4,23,16,-37
575,MIN,MIN @ OKC,03/04/2022,,W,240,138,49,91,53.8,22,47,46.8,18,23,78.3,7,34,41,35,17,7,18,17,37
576,SAS,SAS vs. SAC,03/03/2022,,L,240,112,46,93,49.5,12,32,37.5,8,16,50.0,6,34,40,28,8,5,11,24,-3
577,SAC,SAC @ SAS,03/03/2022,,W,240,115,39,85,45.9,10,32,31.3,27,32,84.4,9,40,49,26,6,2,14,13,3
578,LAC,LAC vs. LAL,03/03/2022,,W,240,132,51,93,54.8,17,27,63.0,13,15,86.7,13,33,46,32,10,3,12,22,21
579,LAL,LAL @ LAC,03/03/2022,,L,240,111,41,84,48.8,12,35,34.3,17,22,77.3,9,27,36,26,8,4,14,17,-21
580,GSW,GSW @ DAL,03/03/2022,,L,240,113,44,81,54.3,15,30,50.0,10,13,76.9,10,27,37,26,7,5,15,19,-9
581,DAL,DAL vs. GSW,03/03/2022,,W,240,122,45,85,52.9,17,37,45.9,15,20,75.0,8,24,32,29,7,1,10,16,9
582,TOR,TOR vs. DET,03/03/2022,,L,240,106,36,83,43.4,7,26,26.9,27,36,75.0,14,27,41,12,5,4,10,22,-2
583,DET,DET @ TOR,03/03/2022,,W,240,108,38,84,45.2,11,37,29.7,21,28,75.0,11,31,42,25,4,5,10,29,2
584,MIA,MIA @ BKN,03/03/2022,,W,240,113,40,77,51.9,10,30,33.3,23,28,82.1,5,30,35,27,8,6,15,22,6
585,BKN,BKN vs. MIA,03/03/2022,,L,240,107,39,83,47.0,12,31,38.7,17,22,77.3,7,23,30,24,5,5,13,24,-6
586,MEM,MEM @ BOS,03/03/2022,,L,240,107,42,99,42.4,13,40,32.5,10,13,76.9,17,27,44,24,10,4,7,16,-13
587,BOS,BOS vs. MEM,03/03/2022,,W,240,120,46,89,51.7,16,37,43.2,12,15,80.0,15,36,51,33,4,7,14,15,13
588,CHI,CHI @ ATL,03/03/2022,,L,240,124,52,88,59.1,14,26,53.8,6,7,85.7,5,27,32,30,5,2,14,19,-6
589,ATL,ATL vs. CHI,03/03/2022,,W,240,130,44,84,52.4,18,40,45.0,24,28,85.7,8,25,33,26,7,3,6,15,6
590,ORL,ORL vs. IND,03/02/2022,,L,265,114,44,97,45.4,10,32,31.3,16,20,80.0,12,40,52,22,12,5,20,28,-8
591,IND,IND @ ORL,03/02/2022,,W,265,122,41,94,43.6,12,37,32.4,28,35,80.0,14,40,54,23,12,7,18,19,8
592,CLE,CLE vs. CHA,03/02/2022,,L,240,98,37,79,46.8,10,31,32.3,14,21,66.7,4,33,37,21,6,1,14,18,-21
593,CHA,CHA @ CLE,03/02/2022,,W,240,119,43,85,50.6,17,38,44.7,16,22,72.7,9,36,45,32,10,5,12,21,21
594,UTA,UTA @ HOU,03/02/2022,,W,265,132,50,91,54.9,15,42,35.7,17,24,70.8,11,38,49,32,12,2,19,24,5
595,HOU,HOU vs. UTA,03/02/2022,,L,265,127,43,86,50.0,21,51,41.2,20,30,66.7,5,29,34,27,12,3,17,25,-5
596,POR,POR @ PHX,03/02/2022,,L,240,90,30,78,38.5,11,31,35.5,19,25,76.0,5,30,35,22,10,2,19,23,-30
597,PHX,PHX vs. POR,03/02/2022,,W,240,120,40,80,50.0,14,36,38.9,26,31,83.9,7,39,46,32,14,6,16,21,30
598,DEN,DEN vs. OKC,03/02/2022,,L,240,107,40,90,44.4,12,46,26.1,15,17,88.2,10,37,47,25,11,2,16,19,-12
599,OKC,OKC @ DEN,03/02/2022,,W,240,119,44,87,50.6,16,29,55.2,15,21,71.4,9,41,50,24,11,6,15,15,12
600,MIL,MIL vs. MIA,03/02/2022,,W,240,120,41,91,45.1,14,36,38.9,24,27,88.9,11,41,52,22,7,3,12,16,1
601,MIA,MIA @ MIL,03/02/2022,,L,240,119,44,97,45.4,21,44,47.7,10,12,83.3,9,39,48,28,9,4,12,22,-1
602,SAC,SAC @ NOP,03/02/2022,,L,240,95,35,89,39.3,8,35,22.9,17,25,68.0,12,26,38,20,9,4,11,19,-30
603,NOP,NOP vs. SAC,03/02/2022,,W,240,125,52,88,59.1,11,29,37.9,10,12,83.3,7,43,50,30,5,5,16,23,30
604,NYK,NYK @ PHI,03/02/2022,,L,240,108,39,91,42.9,8,28,28.6,22,32,68.8,10,30,40,20,9,3,10,25,-15
605,PHI,PHI vs. NYK,03/02/2022,,W,240,123,39,75,52.0,17,36,47.2,28,33,84.8,5,38,43,24,2,8,14,25,15
606,DAL,DAL @ LAL,03/01/2022,,W,240,109,41,82,50.0,10,35,28.6,17,27,63.0,10,35,45,24,8,7,14,19,5
607,LAL,LAL vs. DAL,03/01/2022,,L,240,104,37,82,45.1,14,34,41.2,16,20,80.0,4,33,37,22,8,6,12,20,-5
608,GSW,GSW @ MIN,03/01/2022,,L,240,114,41,90,45.6,13,45,28.9,19,22,86.4,8,32,40,26,11,3,17,25,-15
609,MIN,MIN vs. GSW,03/01/2022,,W,240,129,47,89,52.8,16,40,40.0,19,23,82.6,6,36,42,27,10,2,16,20,15
610,LAC,LAC @ HOU,03/01/2022,,W,240,113,42,96,43.8,13,31,41.9,16,17,94.1,17,38,55,24,7,8,16,19,13
611,HOU,HOU vs. LAC,03/01/2022,,L,240,100,38,96,39.6,13,39,33.3,11,17,64.7,14,31,45,21,8,6,14,18,-13
612,BOS,BOS vs. ATL,03/01/2022,,W,240,107,39,83,47.0,11,35,31.4,18,19,94.7,11,36,47,27,4,8,14,20,9
613,ATL,ATL @ BOS,03/01/2022,,L,240,98,36,83,43.4,7,31,22.6,19,24,79.2,5,32,37,15,8,4,10,20,-9
614,BKN,BKN @ TOR,03/01/2022,,L,240,108,42,84,50.0,10,25,40.0,14,19,73.7,7,30,37,21,3,5,12,21,-1
615,TOR,TOR vs. BKN,03/01/2022,,W,240,109,41,90,45.6,7,23,30.4,20,23,87.0,16,32,48,27,5,2,13,19,1
616,DET,DET @ WAS,03/01/2022,,L,240,113,43,90,47.8,8,27,29.6,19,23,82.6,14,29,43,23,9,3,12,21,-3
617,WAS,WAS vs. DET,03/01/2022,,W,240,116,41,82,50.0,13,26,50.0,21,26,80.8,12,30,42,29,6,8,15,22,3
618,MIL,MIL vs. CHA,02/28/2022,,W,240,130,40,91,44.0,18,45,40.0,32,37,86.5,17,45,62,25,4,5,13,28,24
619,CHA,CHA @ MIL,02/28/2022,,L,240,106,36,93,38.7,14,39,35.9,20,32,62.5,9,31,40,22,6,1,9,27,-24
620,MEM,MEM vs. SAS,02/28/2022,,W,240,118,48,89,53.9,11,26,42.3,11,19,57.9,13,42,55,24,5,6,18,18,13
621,SAS,SAS @ MEM,02/28/2022,,L,240,105,41,99,41.4,9,32,28.1,14,19,73.7,12,26,38,30,13,3,9,18,-13
622,SAC,SAC @ OKC,02/28/2022,,W,240,131,49,87,56.3,10,31,32.3,23,30,76.7,11,35,46,30,10,6,17,25,21
623,OKC,OKC vs. SAC,02/28/2022,,L,240,110,40,86,46.5,11,35,31.4,19,27,70.4,7,31,38,28,12,5,17,26,-21
624,CHI,CHI @ MIA,02/28/2022,,L,240,99,41,84,48.8,7,29,24.1,10,15,66.7,5,33,38,23,9,4,16,24,-13
625,MIA,MIA vs. CHI,02/28/2022,,W,240,112,40,81,49.4,12,31,38.7,20,26,76.9,9,30,39,28,8,5,14,18,13
626,BKN,BKN vs. TOR,02/28/2022,,L,240,97,33,86,38.4,12,35,34.3,19,24,79.2,14,31,45,23,4,5,23,20,-36
627,TOR,TOR @ BKN,02/28/2022,,W,240,133,51,99,51.5,18,38,47.4,13,22,59.1,16,31,47,35,17,5,13,20,36
628,CLE,CLE vs. MIN,02/28/2022,,L,240,122,39,74,52.7,15,37,40.5,29,34,85.3,10,28,38,29,5,3,22,17,-5
629,MIN,MIN @ CLE,02/28/2022,,W,240,127,47,86,54.7,18,42,42.9,15,19,78.9,8,23,31,30,12,6,13,31,5
630,IND,IND @ ORL,02/28/2022,,L,240,103,35,72,48.6,15,36,41.7,18,25,72.0,4,35,39,22,4,6,22,18,-16
631,ORL,ORL vs. IND,02/28/2022,,W,240,119,45,96,46.9,12,37,32.4,17,22,77.3,10,29,39,29,10,2,11,19,16
632,IND,IND vs. BOS,02/27/2022,,W,240,128,47,90,52.2,17,33,51.5,17,20,85.0,10,39,49,25,7,5,14,23,21
633,BOS,BOS @ IND,02/27/2022,,L,240,107,39,91,42.9,12,43,27.9,17,20,85.0,12,28,40,25,5,9,10,13,-21
634,UTA,UTA @ PHX,02/27/2022,,W,240,118,44,94,46.8,17,40,42.5,13,20,65.0,14,27,41,23,7,6,10,16,4
635,PHX,PHX vs. UTA,02/27/2022,,L,240,114,44,86,51.2,13,28,46.4,13,16,81.3,10,26,36,24,7,5,9,19,-4
636,NYK,NYK vs. PHI,02/27/2022,,L,240,109,38,85,44.7,11,33,33.3,22,35,62.9,12,35,47,21,6,2,18,24,-16
637,PHI,PHI @ NYK,02/27/2022,,W,240,125,38,78,48.7,10,33,30.3,39,44,88.6,5,38,43,28,13,5,10,26,16
638,LAL,LAL vs. NOP,02/27/2022,,L,240,95,35,84,41.7,7,34,20.6,18,20,90.0,7,31,38,15,8,7,23,18,-28
639,NOP,NOP @ LAL,02/27/2022,,W,240,123,47,92,51.1,13,30,43.3,16,25,64.0,12,39,51,29,16,3,15,19,28
640,DEN,DEN @ POR,02/27/2022,,W,240,124,44,86,51.2,12,37,32.4,24,31,77.4,8,47,55,28,9,5,15,20,32
641,POR,POR vs. DEN,02/27/2022,,L,240,92,34,91,37.4,6,36,16.7,18,26,69.2,11,31,42,22,12,3,15,25,-32
642,HOU,HOU vs. LAC,02/27/2022,,L,240,98,35,92,38.0,17,42,40.5,11,18,61.1,6,31,37,26,8,0,7,21,-1
643,LAC,LAC @ HOU,02/27/2022,,W,240,99,34,77,44.2,11,34,32.4,20,28,71.4,10,49,59,18,4,12,18,22,1
644,GSW,GSW vs. DAL,02/27/2022,,L,240,101,39,91,42.9,11,39,28.2,12,20,60.0,12,32,44,27,15,2,11,23,-6
645,DAL,DAL @ GSW,02/27/2022,,W,240,107,39,78,50.0,13,34,38.2,16,20,80.0,6,39,45,16,5,7,18,18,6
646,DET,DET @ CHA,02/27/2022,,W,265,127,50,110,45.5,14,40,35.0,13,18,72.2,22,32,54,30,10,3,15,29,1
647,CHA,CHA vs. DET,02/27/2022,,L,265,126,45,89,50.6,13,31,41.9,23,34,67.6,12,34,46,25,8,8,17,19,-1
648,SAC,SAC @ DEN,02/26/2022,,L,240,110,38,89,42.7,9,30,30.0,25,33,75.8,9,36,45,24,4,3,13,25,-5
649,DEN,DEN vs. SAC,02/26/2022,,W,240,115,38,82,46.3,16,43,37.2,23,29,79.3,4,41,45,29,5,2,15,25,5
650,BKN,BKN @ MIL,02/26/2022,,W,240,126,44,92,47.8,13,34,38.2,25,33,75.8,12,28,40,24,7,5,9,24,3
651,MIL,MIL vs. BKN,02/26/2022,,L,240,123,41,78,52.6,16,38,42.1,25,38,65.8,4,39,43,24,4,0,15,26,-3
652,CHI,CHI vs. MEM,02/26/2022,,L,240,110,39,93,41.9,9,20,45.0,23,30,76.7,6,35,41,17,9,3,10,17,-6
653,MEM,MEM @ CHI,02/26/2022,,W,240,116,44,100,44.0,7,23,30.4,21,26,80.8,19,42,61,23,5,10,14,24,6
654,SAS,SAS @ MIA,02/26/2022,,L,240,129,50,90,55.6,14,31,45.2,15,19,78.9,12,34,46,33,5,1,22,31,-4
655,MIA,MIA vs. SAS,02/26/2022,,W,240,133,47,83,56.6,12,28,42.9,27,38,71.1,4,28,32,25,8,3,12,20,4
656,WAS,WAS @ CLE,02/26/2022,,L,240,86,35,81,43.2,11,23,47.8,5,6,83.3,7,35,42,19,8,7,18,24,-6
657,CLE,CLE vs. WAS,02/26/2022,,W,240,92,32,83,38.6,8,25,32.0,20,24,83.3,13,36,49,22,9,5,14,10,6
658,TOR,TOR @ ATL,02/26/2022,,L,240,100,38,95,40.0,10,32,31.3,14,19,73.7,11,31,42,25,5,2,13,26,-27
659,ATL,ATL vs. TOR,02/26/2022,,W,240,127,48,83,57.8,13,31,41.9,18,22,81.8,5,40,45,27,8,8,12,19,27
660,DET,DET vs. BOS,02/26/2022,,L,240,104,39,87,44.8,7,27,25.9,19,22,86.4,10,31,41,18,4,4,14,22,-9
661,BOS,BOS @ DET,02/26/2022,,W,240,113,42,88,47.7,10,26,38.5,19,21,90.5,10,27,37,31,5,6,10,21,9
662,OKC,OKC @ IND,02/25/2022,,W,265,129,50,101,49.5,11,31,35.5,18,24,75.0,11,43,54,23,8,3,11,19,4
663,IND,IND vs. OKC,02/25/2022,,L,265,125,49,101,48.5,14,37,37.8,13,22,59.1,12,39,51,31,8,11,14,19,-4
664,LAC,LAC @ LAL,02/25/2022,,W,240,105,41,83,49.4,10,26,38.5,13,19,68.4,7,40,47,25,8,8,17,19,3
665,LAL,LAL vs. LAC,02/25/2022,,L,240,102,39,93,41.9,8,31,25.8,16,21,76.2,13,34,47,18,8,7,12,17,-3
666,PHX,PHX vs. NOP,02/25/2022,,L,240,102,36,82,43.9,12,40,30.0,18,24,75.0,7,30,37,23,6,8,14,27,-15
667,NOP,NOP @ PHX,02/25/2022,,W,240,117,38,87,43.7,8,29,27.6,33,41,80.5,16,37,53,21,10,4,11,18,15
668,UTA,UTA vs. DAL,02/25/2022,,W,240,114,40,74,54.1,16,38,42.1,18,22,81.8,9,35,44,22,9,4,18,14,5
669,DAL,DAL @ UTA,02/25/2022,,L,240,109,42,88,47.7,17,39,43.6,8,8,100,8,22,30,22,9,3,12,21,-5
670,MIN,MIN vs. PHI,02/25/2022,,L,240,102,36,86,41.9,9,39,23.1,21,25,84.0,9,32,41,23,4,1,16,27,-31
671,PHI,PHI @ MIN,02/25/2022,,W,240,133,42,82,51.2,19,39,48.7,30,36,83.3,6,36,42,30,10,0,12,23,31
672,NYK,NYK vs. MIA,02/25/2022,,L,240,100,30,75,40.0,14,40,35.0,26,36,72.2,5,40,45,19,4,1,18,30,-15
673,MIA,MIA @ NYK,02/25/2022,,W,240,115,39,83,47.0,11,32,34.4,26,35,74.3,4,40,44,22,13,5,10,28,15
674,SAS,SAS @ WAS,02/25/2022,,W,290,157,57,105,54.3,9,29,31.0,34,43,79.1,16,34,50,35,6,3,17,22,4
675,WAS,WAS vs. SAS,02/25/2022,,L,290,153,59,108,54.6,16,38,42.1,19,24,79.2,11,28,39,36,10,5,16,29,-4
676,ORL,ORL vs. HOU,02/25/2022,,W,240,119,42,83,50.6,13,36,36.1,22,29,75.9,10,44,54,20,7,4,19,22,8
677,HOU,HOU @ ORL,02/25/2022,,L,240,111,44,94,46.8,14,47,29.8,9,20,45.0,10,31,41,22,12,3,13,24,-8
678,TOR,TOR @ CHA,02/25/2022,,L,240,93,37,84,44.0,6,23,26.1,13,23,56.5,10,26,36,18,6,4,17,12,-32
679,CHA,CHA vs. TOR,02/25/2022,,W,240,125,52,94,55.3,15,40,37.5,6,9,66.7,13,39,52,34,10,7,18,20,32
680,DET,DET vs. CLE,02/24/2022,,W,240,106,35,86,40.7,11,34,32.4,25,28,89.3,13,36,49,23,8,8,11,24,3
681,CLE,CLE @ DET,02/24/2022,,L,240,103,34,77,44.2,12,35,34.3,23,34,67.6,8,35,43,20,3,7,12,21,-3
682,POR,POR vs. GSW,02/24/2022,,L,240,95,31,79,39.2,9,35,25.7,24,29,82.8,6,25,31,16,5,4,18,29,-37
683,GSW,GSW @ POR,02/24/2022,,W,240,132,45,88,51.1,15,41,36.6,27,32,84.4,10,36,46,36,10,7,12,23,37
684,DEN,DEN @ SAC,02/24/2022,,W,240,128,48,86,55.8,15,35,42.9,17,20,85.0,3,36,39,30,12,4,17,24,18
685,SAC,SAC vs. DEN,02/24/2022,,L,240,110,43,86,50.0,9,29,31.0,15,18,83.3,6,28,34,25,5,8,15,17,-18
686,CHI,CHI vs. ATL,02/24/2022,,W,240,112,41,84,48.8,8,27,29.6,22,27,81.5,6,37,43,16,5,8,9,20,4
687,ATL,ATL @ CHI,02/24/2022,,L,240,108,41,97,42.3,8,28,28.6,18,27,66.7,13,32,45,20,2,3,10,18,-4
688,MIN,MIN vs. MEM,02/24/2022,,W,240,119,43,93,46.2,16,42,38.1,17,25,68.0,12,30,42,26,6,11,12,27,5
689,MEM,MEM @ MIN,02/24/2022,,L,240,114,38,98,38.8,9,31,29.0,29,40,72.5,26,33,59,25,9,7,16,21,-5
690,PHX,PHX @ OKC,02/24/2022,,W,240,124,46,86,53.5,13,34,38.2,19,21,90.5,3,40,43,32,14,6,16,12,20
691,OKC,OKC vs. PHX,02/24/2022,,L,240,104,44,93,47.3,6,31,19.4,10,11,90.9,7,35,42,22,10,4,16,19,-20
692,BKN,BKN vs. BOS,02/24/2022,,L,240,106,39,94,41.5,7,29,24.1,21,28,75.0,8,30,38,25,8,4,11,16,-23
693,BOS,BOS @ BKN,02/24/2022,,W,240,129,46,85,54.1,17,42,40.5,20,27,74.1,8,40,48,28,9,3,14,20,23
694,MIL,MIL vs. PHI,02/17/2022,,L,240,120,42,95,44.2,14,44,31.8,22,28,78.6,12,32,44,20,5,1,7,22,-3
695,PHI,PHI @ MIL,02/17/2022,,W,240,123,44,88,50.0,12,34,35.3,23,27,85.2,9,37,46,21,2,2,12,23,3
696,DAL,DAL @ NOP,02/17/2022,,W,240,125,44,82,53.7,19,40,47.5,18,25,72.0,7,31,38,18,5,4,9,22,7
697,NOP,NOP vs. DAL,02/17/2022,,L,240,118,46,92,50.0,12,28,42.9,14,21,66.7,17,31,48,22,7,0,13,18,-7
698,MIA,MIA @ CHA,02/17/2022,,W,290,111,41,102,40.2,14,48,29.2,15,23,65.2,15,41,56,31,4,5,15,23,4
699,CHA,CHA vs. MIA,02/17/2022,,L,290,107,38,95,40.0,10,42,23.8,21,30,70.0,17,41,58,27,6,4,18,28,-4
700,WAS,WAS @ BKN,02/17/2022,,W,240,117,46,83,55.4,12,24,50.0,13,16,81.3,8,30,38,26,10,7,16,21,14
701,BKN,BKN vs. WAS,02/17/2022,,L,240,103,36,89,40.4,14,38,36.8,17,24,70.8,15,27,42,19,6,5,16,20,-14
702,LAC,LAC vs. HOU,02/17/2022,,W,240,142,51,92,55.4,18,35,51.4,22,26,84.6,12,38,50,34,12,5,18,16,31
703,HOU,HOU @ LAC,02/17/2022,,L,240,111,42,91,46.2,13,37,35.1,14,19,73.7,12,23,35,29,8,2,19,20,-31
704,GSW,GSW vs. DEN,02/16/2022,,L,240,116,45,87,51.7,10,34,29.4,16,24,66.7,8,29,37,26,13,5,11,21,-1
705,DEN,DEN @ GSW,02/16/2022,,W,240,117,43,91,47.3,14,36,38.9,17,21,81.0,12,36,48,27,5,1,19,18,1
706,PHX,PHX vs. HOU,02/16/2022,,W,240,124,44,86,51.2,7,24,29.2,29,36,80.6,7,35,42,27,10,7,11,20,3
707,HOU,HOU @ PHX,02/16/2022,,L,240,121,42,97,43.3,13,44,29.5,24,28,85.7,13,36,49,23,5,5,16,27,-3
708,SAC,SAC @ CHI,02/16/2022,,L,240,118,43,84,51.2,12,30,40.0,20,22,90.9,7,29,36,24,9,3,13,14,-7
709,CHI,CHI vs. SAC,02/16/2022,,W,240,125,47,94,50.0,12,29,41.4,19,20,95.0,13,34,47,25,8,2,13,16,7
710,MIN,MIN vs. TOR,02/16/2022,,L,240,91,30,77,39.0,10,42,23.8,21,29,72.4,6,36,42,23,6,7,17,18,-12
711,TOR,TOR @ MIN,02/16/2022,,W,240,103,40,88,45.5,8,25,32.0,15,19,78.9,9,39,48,21,7,6,13,21,12
712,SAS,SAS @ OKC,02/16/2022,,W,240,114,43,98,43.9,10,34,29.4,18,22,81.8,14,43,57,29,3,7,14,15,8
713,OKC,OKC vs. SAS,02/16/2022,,L,240,106,41,105,39.0,11,32,34.4,13,19,68.4,15,35,50,25,6,6,8,19,-8
714,NYK,NYK vs. BKN,02/16/2022,,L,240,106,37,85,43.5,16,43,37.2,16,18,88.9,10,34,44,22,7,9,10,17,-5
715,BKN,BKN @ NYK,02/16/2022,,W,240,111,43,98,43.9,11,34,32.4,14,23,60.9,16,35,51,21,5,1,9,16,5
716,WAS,WAS @ IND,02/16/2022,,L,240,108,39,91,42.9,17,37,45.9,13,16,81.3,12,32,44,25,7,3,13,20,-5
717,IND,IND vs. WAS,02/16/2022,,W,240,113,45,83,54.2,4,20,20.0,19,29,65.5,7,33,40,30,9,6,11,14,5
718,DET,DET @ BOS,02/16/2022,,W,240,112,43,93,46.2,16,30,53.3,10,13,76.9,18,29,47,28,9,1,17,17,1
719,BOS,BOS vs. DET,02/16/2022,,L,240,111,42,77,54.5,13,32,40.6,14,18,77.8,2,28,30,29,8,6,17,14,-1
720,ORL,ORL vs. ATL,02/16/2022,,L,240,109,42,98,42.9,13,41,31.7,12,13,92.3,12,33,45,23,3,5,13,19,-21
721,ATL,ATL @ ORL,02/16/2022,,W,240,130,45,90,50.0,18,33,54.5,22,28,78.6,13,34,47,23,7,6,11,20,21
722,LAL,LAL vs. UTA,02/16/2022,,W,240,106,41,86,47.7,10,36,27.8,14,22,63.6,12,32,44,24,9,7,12,18,5
723,UTA,UTA @ LAL,02/16/2022,,L,240,101,37,79,46.8,11,33,33.3,16,19,84.2,8,33,41,17,11,6,13,22,-5
724,MEM,MEM vs. POR,02/16/2022,,L,240,119,37,85,43.5,11,30,36.7,34,42,81.0,10,29,39,20,10,7,10,26,-4
725,POR,POR @ MEM,02/16/2022,,W,240,123,43,85,50.6,13,32,40.6,24,32,75.0,13,30,43,23,6,5,12,27,4
726,MIL,MIL vs. IND,02/15/2022,,W,240,128,48,86,55.8,10,29,34.5,22,30,73.3,9,38,47,28,7,0,15,17,9
727,IND,IND @ MIL,02/15/2022,,L,240,119,47,93,50.5,17,41,41.5,8,19,42.1,10,31,41,32,8,2,12,23,-9
728,NOP,NOP vs. MEM,02/15/2022,,L,240,109,44,88,50.0,4,26,15.4,17,20,85.0,11,23,34,20,7,5,15,23,-12
729,MEM,MEM @ NOP,02/15/2022,,W,240,121,47,94,50.0,10,34,29.4,17,27,63.0,18,31,49,29,10,3,13,24,12
730,DAL,DAL @ MIA,02/15/2022,,W,240,107,34,76,44.7,18,41,43.9,21,33,63.6,12,26,38,27,5,7,9,26,8
731,MIA,MIA vs. DAL,02/15/2022,,L,240,99,35,84,41.7,7,27,25.9,22,27,81.5,15,33,48,19,1,2,12,23,-8
732,ATL,ATL vs. CLE,02/15/2022,,W,240,124,43,80,53.8,14,33,42.4,24,27,88.9,7,28,35,25,9,4,11,18,8
733,CLE,CLE @ ATL,02/15/2022,,L,240,116,45,88,51.1,16,41,39.0,10,12,83.3,14,25,39,30,8,3,13,23,-8
734,PHI,PHI vs. BOS,02/15/2022,,L,240,87,23,80,28.8,8,32,25.0,33,39,84.6,12,28,40,17,7,2,9,17,-48
735,BOS,BOS @ PHI,02/15/2022,,W,240,135,46,82,56.1,25,45,55.6,18,22,81.8,7,44,51,28,2,10,11,25,48
736,PHX,PHX vs. LAC,02/15/2022,,W,240,103,44,90,48.9,8,25,32.0,7,10,70.0,12,40,52,30,9,4,17,12,7
737,LAC,LAC @ PHX,02/15/2022,,L,240,96,40,97,41.2,10,35,28.6,6,9,66.7,13,33,46,26,11,9,14,12,-7
738,CHA,CHA @ MIN,02/15/2022,,L,265,120,42,102,41.2,8,33,24.2,28,37,75.7,16,46,62,31,9,7,14,30,-6
739,MIN,MIN vs. CHA,02/15/2022,,W,265,126,43,109,39.4,13,55,23.6,27,43,62.8,17,41,58,29,10,8,14,26,6
740,LAC,LAC vs. GSW,02/14/2022,,W,240,119,48,85,56.5,15,34,44.1,8,15,53.3,6,37,43,25,6,3,12,18,15
741,GSW,GSW @ LAC,02/14/2022,,L,240,104,39,86,45.3,16,41,39.0,10,13,76.9,7,31,38,23,7,3,14,18,-15
742,DEN,DEN vs. ORL,02/14/2022,,W,240,121,42,88,47.7,16,40,40.0,21,23,91.3,12,40,52,25,7,2,23,18,10
743,ORL,ORL @ DEN,02/14/2022,,L,240,111,40,91,44.0,11,39,28.2,20,23,87.0,11,31,42,24,16,5,15,19,-10
744,UTA,UTA vs. HOU,02/14/2022,,W,240,135,49,89,55.1,18,40,45.0,19,22,86.4,13,40,53,34,6,5,13,22,34
745,HOU,HOU @ UTA,02/14/2022,,L,240,101,35,83,42.2,12,37,32.4,19,28,67.9,10,23,33,23,5,4,12,20,-34
746,SAS,SAS @ CHI,02/14/2022,,L,240,109,44,92,47.8,6,20,30.0,15,21,71.4,4,29,33,28,9,2,7,15,-11
747,CHI,CHI vs. SAS,02/14/2022,,W,240,120,46,88,52.3,10,24,41.7,18,21,85.7,10,43,53,25,3,3,16,19,11
748,TOR,TOR @ NOP,02/14/2022,,L,240,90,29,95,30.5,8,34,23.5,24,31,77.4,19,25,44,8,7,3,8,14,-30
749,NOP,NOP vs. TOR,02/14/2022,,W,240,120,45,77,58.4,16,35,45.7,14,16,87.5,4,43,47,36,4,7,14,24,30
750,POR,POR @ MIL,02/14/2022,,W,240,122,45,99,45.5,18,43,41.9,14,19,73.7,14,44,58,30,8,6,14,19,15
751,MIL,MIL vs. POR,02/14/2022,,L,240,107,38,89,42.7,13,41,31.7,18,24,75.0,6,37,43,18,8,3,13,18,-15
752,OKC,OKC @ NYK,02/14/2022,,W,265,127,48,96,50.0,13,34,38.2,18,27,66.7,8,38,46,28,9,1,11,19,4
753,NYK,NYK vs. OKC,02/14/2022,,L,265,123,45,108,41.7,15,50,30.0,18,22,81.8,19,37,56,28,8,12,14,25,-4
